id,farm_id,date,category,description,amount,receipt_url,created_at,updated_at,vendor
64772080-248b-433a-89a6-41f442bf7e60,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-01-10,Equipment,Tarp,110.0,,2026-04-13T01:52:30.254403+00:00,2026-04-13T01:52:30.254403+00:00,Amazon
b6223bec-e026-4040-946b-f595843985d5,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-01-15,Soil,Coco Coir,400.0,,2026-04-13T01:52:30.454454+00:00,2026-04-13T01:52:30.454454+00:00,Amazon
a5a23ae7-b565-49ec-87af-a50f910b65e3,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-01-15,Equipment,Pots,477.32,,2026-04-13T01:52:30.695517+00:00,2026-04-13T01:52:30.695517+00:00,Greenhouse Megastore
f54ca366-00ec-4f66-bdd8-06e89490bd06,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-01-17,Equipment,Equipment,29.69,,2026-04-13T01:52:30.767687+00:00,2026-04-13T01:52:30.767687+00:00,Home Depot
059a3a84-fae2-4460-ad4a-e0f88992cfee,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-01-22,Seeds,"Seeds for Understudy tomatoes, peppers",128.56,,2026-04-13T01:52:30.841244+00:00,2026-04-13T01:52:30.841244+00:00,Bakers Creek
f5f21a8c-96ee-4fc5-9c50-9fd11ae8bad0,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-02-03,Seeds,Pentas Seeds,164.62,,2026-04-13T01:52:30.912437+00:00,2026-04-13T01:52:30.912437+00:00,Swallowtail Garden Seeds
19a0bbd6-930d-42f6-8f3f-4a4e02e6e568,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2026-02-03,Equipment,Pots,289.37,,2026-04-13T01:52:30.996182+00:00,2026-04-13T01:52:30.996182+00:00,Greenhouse Megastore
c0905abc-95cc-4689-80fc-92ae26b87953,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-14,Soil,Coco Coir,209.02,,2026-04-13T01:52:31.08697+00:00,2026-04-13T01:52:31.08697+00:00,Amazon
00aeab60-250d-4ef5-9631-4fc8aaecb4c8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-14,Soil,Perlite,84.02,,2026-04-13T01:52:31.173304+00:00,2026-04-13T01:52:31.173304+00:00,Amazon
1476f77c-9ec5-4fa7-887c-db46db243738,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-17,Seeds,Summer Seeds,104.5,,2026-04-13T01:52:31.252406+00:00,2026-04-13T01:52:31.252406+00:00,Bakers Creek Seeds
68565a9c-c390-46d1-aa07-6e613d176c17,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-17,Seeds,Summer Seeds,39.09,,2026-04-13T01:52:31.32766+00:00,2026-04-13T01:52:31.32766+00:00,Pepper Joes
a846b4d8-775d-4890-ad84-c695396a62c8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-17,Seeds,Summer Seeds,7.13,,2026-04-13T01:52:31.397274+00:00,2026-04-13T01:52:31.397274+00:00,True Leaf Market
28a22092-066c-429e-a251-47261d5721a7,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-17,Plants,Morrel/Miatake Spores to grow @ farm,83.16,,2026-04-13T01:52:31.47124+00:00,2026-04-13T01:52:31.47124+00:00,North Spore
e6f93802-68b5-45b5-80ca-8f3edaa40681,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-17,Seeds,Seeds for more oxalis,136.45,,2026-04-13T01:52:31.535185+00:00,2026-04-13T01:52:31.535185+00:00,Etsy
c719a952-ba11-42df-899c-8791977bada9,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-18,Equipment,Water timers needed for farm,443.39,,2026-04-13T01:52:31.606962+00:00,2026-04-13T01:52:31.606962+00:00,Amazon
3b8c9be2-215f-40e9-9833-1694d3e5134c,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-01-21,Equipment,Grow bags for peppers / Starter for PRESS Tiller,50.62,,2026-04-13T01:52:31.766675+00:00,2026-04-13T01:52:31.766675+00:00,Amazon
89d3f7e9-b27e-4cd7-aa23-9569d3e4cae3,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-02-03,Equipment,Peppers/tomatoes need to stay @ 80 F when growing so mats are needed for growth,211.86,,2026-04-13T01:52:31.85537+00:00,2026-04-13T01:52:31.85537+00:00,Amazon
40509bf2-2c46-4610-aad9-9063b3dced52,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-02-06,Equipment,,138.56,,2026-04-13T01:52:31.960269+00:00,2026-04-13T01:52:31.960269+00:00,Amazon
1da459cf-2569-41d5-b94e-05e915316deb,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-02-06,Equipment,Drip Line for farm water irrigation,369.21,,2026-04-13T01:52:32.025403+00:00,2026-04-13T01:52:32.025403+00:00,Drip Depot
44cec31f-6bbf-4dbb-8747-5ed969ecc8f6,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-02-20,Equipment,Landscape Staples for the Farm,164.85,,2026-04-13T01:52:32.089521+00:00,2026-04-13T01:52:32.089521+00:00,Amazon
a8be76be-5981-48d0-aca1-35569f7ab9b8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-02-25,Equipment,Seed and weeding equipment for the Farm,416.64,,2026-04-13T01:52:32.158507+00:00,2026-04-13T01:52:32.158507+00:00,Johnny's Seeds
bb091921-08ab-4fd9-9d75-17ce1559b91c,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-01,Equipment,"Drip Line for farm water irrigation, dripline and parts for Press raised beds",565.09,,2026-04-13T01:52:32.220448+00:00,2026-04-13T01:52:32.220448+00:00,Drip Depot
3d1481f9-94fe-4c9e-9b05-6b9c6a4e1bf3,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-01,Plants,Strawberry Crowns & Squash Seeds,268.84,,2026-04-13T01:52:32.286805+00:00,2026-04-13T01:52:32.286805+00:00,Johnny's Seeds
9324a096-6ecf-4a1d-94ad-07c08a765ed8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-02,Equipment,"Roof vent openers for Farm Greenhouse, Retractable hose for Farm",202.53,,2026-04-13T01:52:32.356999+00:00,2026-04-13T01:52:32.356999+00:00,Amazon
3ae158b0-b790-4fcb-91b4-1a1ecc65f8a8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-03,Soil,Coco Coir for seed starting mix,212.8,,2026-04-13T01:52:32.421885+00:00,2026-04-13T01:52:32.421885+00:00,Amazon
e0d4306f-2c6e-44de-bb64-073babeb241e,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-03,Equipment,Pots for Farms Annual Tomato Seedling Giveaway,18.14,,2026-04-13T01:52:32.490378+00:00,2026-04-13T01:52:32.490378+00:00,Amazon
c0519888-c388-47d9-b82f-8588500ce4bb,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-13,Equipment,"Various Tools, Equipment, and Supplies need for the Farm",948.73,,2026-04-13T01:52:32.564503+00:00,2026-04-13T01:52:32.564503+00:00,Amazon
5eff1b6f-536a-4995-a1a8-26fed6d7a27f,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-13,Seeds,Seeds for PRESS & Under-Study,156.83,,2026-04-13T01:52:32.64211+00:00,2026-04-13T01:52:32.64211+00:00,Baker Creek
6a4aab9c-21f2-41ad-a161-fa8e9a121c93,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-13,Amendments,"7.5, 5, 7.5 Organic Fertalizer",57.64,,2026-04-13T01:52:32.711621+00:00,2026-04-13T01:52:32.711621+00:00,Wilbur Ellis
98a1645a-236a-4d59-bbb6-1cc767ffaadf,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-14,Equipment,Trays & Pots for planting,295.04,,2026-04-13T01:52:32.777065+00:00,2026-04-13T01:52:32.777065+00:00,Greenhouse Megastore
9f3f22eb-2f01-4799-9869-4aca77c23275,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-03-16,Equipment,Seeder used for faster seeding of trays,94.0,,2026-04-13T01:52:32.847877+00:00,2026-04-13T01:52:32.847877+00:00,Japan Agri
9ba9a528-c1ca-41f7-8518-bca6171062e5,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-02,Equipment,Sink for washing greens and veg for restaurant,172.37,,2026-04-13T01:52:32.912625+00:00,2026-04-13T01:52:32.912625+00:00,Amazon
5e5b9402-7719-4c59-bcde-67cd785865a7,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-05,Equipment,Irrigation parts for field,137.48,,2026-04-13T01:52:33.064329+00:00,2026-04-13T01:52:33.064329+00:00,Drip Depot
7383dba8-10fe-4844-b378-fdf888f84fd8,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-05,Supplies,To prevent bugs and other pest from destroying veggies,149.37,,2026-04-13T01:52:33.162366+00:00,2026-04-13T01:52:33.162366+00:00,Amazon
7b340820-e496-470d-ad09-528bbf3b1caa,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-05,Equipment,Shade canopy for tomato field,341.5,,2026-04-13T01:52:33.260189+00:00,2026-04-13T01:52:33.260189+00:00,Amazon
0eb3c30f-9d87-47df-961f-dd98f74f846e,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-05,Amendments,For fertalizing veggies,107.7,,2026-04-13T01:52:33.334172+00:00,2026-04-13T01:52:33.334172+00:00,Amazon
1737a474-4e9a-472a-9cb5-3c2a1aa0b531,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-05,Soil,Coco Coir for seed starting mix,215.26,,2026-04-13T01:52:33.396403+00:00,2026-04-13T01:52:33.396403+00:00,Amazon
5411188b-d2f6-4202-8c74-0b2c9a460e97,5f7e9d0f-e91b-4a78-92f9-37505fa5aa3d,2025-04-19,Equipment,Various Tools need for the Farm,191.98,,2026-04-13T01:52:33.472882+00:00,2026-04-13T01:52:33.472882+00:00,Amazon
